rootfile,mppc_board,mppc_ch,led_run,ped_run,mppc_hv,led_hv,chi2,ndf,q1,q1_err,pxt,pxt_err
spe_result_ped427_led426_board2.root,2,4,426,427,58.0,1.165,178.32203580105588,97,9.000000000000005,0.006753029833824087,0.4090763106275935,0.009167110332906347
spe_result_ped427_led426_board3.root,3,4,426,427,58.0,1.165,174.11984219200073,140,11.545007264534608,0.08788659238580543,0.6605291060255623,0.01516963617914402
spe_result_ped432_led429_board0.root,0,5,429,432,58.0,1.175,211.77618188167844,176,11.727984122230094,0.09952360587510523,0.6384086569372636,0.016289792220440413
spe_result_ped432_led429_board1.root,1,5,429,432,58.0,1.175,227.0260987978832,185,11.019819283514225,0.07464053873541232,0.6274798289591594,0.014921256012859319
spe_result_ped432_led429_board2.root,2,5,429,432,58.0,1.175,270.20582659508455,166,9.71236129042191,0.06150569731539779,0.6056283341082648,0.014353092261344402
spe_result_ped432_led429_board3.root,3,5,429,432,58.0,1.175,230.42353262555983,142,10.20043090041293,0.11464245999199107,0.5897811758689516,0.019481991197958348
spe_result_ped432_led430_board0.root,0,5,430,432,58.0,1.17,223.81575773177013,165,11.812056403664624,0.1061663001225659,0.6362811266261026,0.01599063581450033
spe_result_ped432_led430_board1.root,1,5,430,432,58.0,1.17,223.46096868541812,167,10.990027427218333,0.0682437244079912,0.6719557550098397,0.0268225663304415
spe_result_ped432_led430_board2.root,2,5,430,432,58.0,1.17,178.32679569732463,155,9.69203425800165,0.0537549337237655,0.6495363224011808,0.012873660323507119
spe_result_ped432_led430_board3.root,3,5,430,432,58.0,1.17,177.17845059297278,140,10.46154663839627,0.10074363618918003,0.5904383445279718,0.01648619102870391
spe_result_ped432_led431_board0.root,0,5,431,432,58.0,1.165,246.96229053980943,159,12.047814578620992,0.10092012745906498,0.6586151120915636,0.015498627465423354
spe_result_ped432_led431_board1.root,1,5,431,432,58.0,1.165,169.90513709782218,155,10.989361556798602,0.14933458804444832,0.7096648470865577,0.015056960847453948
spe_result_ped432_led431_board2.root,2,5,431,432,58.0,1.165,160.09438984958283,143,9.772366010385232,0.061336867354091495,0.7032295808896899,0.014063086315066975
spe_result_ped432_led431_board3.root,3,5,431,432,58.0,1.165,157.3629452319531,128,10.337162243151562,0.14055611707026028,0.6565626698240374,0.02401980738146081
spe_result_ped437_led434_board0.root,0,6,434,437,58.0,1.16,207.61184259616098,141,12.08781832282212,0.2517631694423841,0.7056302919253539,0.01778036916257325
spe_result_ped437_led434_board1.root,1,6,434,437,58.0,1.16,194.85046322759618,155,11.055529321706583,0.10120530265481875,0.8031048051686509,0.01895578107069812
spe_result_ped437_led434_board2.root,2,6,434,437,58.0,1.16,139.9791934992743,117,9.000000000142954,0.018305591488910977,0.5998179087931054,0.01159460636444759
spe_result_ped437_led434_board3.root,3,6,434,437,58.0,1.16,152.3579085129084,134,10.999999999967834,0.014494383264230137,0.6454472246073634,0.011455765535906659
