#pK pK_min pK_max cos_cm cos_cm_err Acceptance
762 761 763 0.266667 0.0666667 0.78149
762 761 763 0.4 0.0666667 0.764559
762 761 763 0.533333 0.0666667 0.748695
762 761 763 0.666667 0.0666667 0.770999
762 761 763 0.8 0.0666667 0.739365
762 761 763 0.933333 0.0666667 0.708935
766 765 767 -0.933333 0.0666667 0.8081
766 765 767 -0.8 0.0666667 0.776924
766 765 767 -0.666667 0.0666667 0.778777
766 765 767 -0.533333 0.0666667 0.802235
766 765 767 -0.4 0.0666667 0.786581
766 765 767 -0.266667 0.0666667 0.782535
766 765 767 -0.133333 0.0666667 0.786659
766 765 767 -2.77556e-17 0.0666667 0.774189
766 765 767 0.133333 0.0666667 0.771695
766 765 767 0.266667 0.0666667 0.753697
766 765 767 0.4 0.0666667 0.76181
766 765 767 0.533333 0.0666667 0.757994
766 765 767 0.666667 0.0666667 0.76224
766 765 767 0.8 0.0666667 0.750464
766 765 767 0.933333 0.0666667 0.721786
770 769 771 -0.933333 0.0666667 0.809854
770 769 771 -0.8 0.0666667 0.792838
770 769 771 -0.666667 0.0666667 0.808361
770 769 771 -0.533333 0.0666667 0.832842
770 769 771 -0.4 0.0666667 0.779327
770 769 771 -0.266667 0.0666667 0.796243
770 769 771 -0.133333 0.0666667 0.773983
770 769 771 -2.77556e-17 0.0666667 0.781356
770 769 771 0.133333 0.0666667 0.764955
770 769 771 0.266667 0.0666667 0.780725
770 769 771 0.4 0.0666667 0.761856
770 769 771 0.533333 0.0666667 0.746276
770 769 771 0.666667 0.0666667 0.770948
770 769 771 0.8 0.0666667 0.73167
770 769 771 0.933333 0.0666667 0.720363
