#pK pK_min pK_max cos_cm cos_cm_err Acceptance
760 759 761 0.666667 0.0666667 0.791226
760 759 761 0.8 0.0666667 0.749567
760 759 761 0.933333 0.0666667 0.757009
762 761 763 -0.933333 0.0666667 0.807201
762 761 763 -0.8 0.0666667 0.776116
762 761 763 -0.666667 0.0666667 0.809349
762 761 763 -0.533333 0.0666667 0.808216
762 761 763 -0.4 0.0666667 0.776607
762 761 763 -0.266667 0.0666667 0.785209
762 761 763 -0.133333 0.0666667 0.775716
762 761 763 -2.77556e-17 0.0666667 0.783784
762 761 763 0.133333 0.0666667 0.777897
762 761 763 0.266667 0.0666667 0.749274
762 761 763 0.4 0.0666667 0.760142
762 761 763 0.533333 0.0666667 0.766785
762 761 763 0.666667 0.0666667 0.76984
762 761 763 0.8 0.0666667 0.754663
762 761 763 0.933333 0.0666667 0.700635
764 763 765 -0.933333 0.0666667 0.811983
764 763 765 -0.8 0.0666667 0.781134
764 763 765 -0.666667 0.0666667 0.790267
764 763 765 -0.533333 0.0666667 0.787362
764 763 765 -0.4 0.0666667 0.78053
764 763 765 -0.266667 0.0666667 0.78329
764 763 765 -0.133333 0.0666667 0.797331
764 763 765 -2.77556e-17 0.0666667 0.80549
764 763 765 0.133333 0.0666667 0.795227
764 763 765 0.266667 0.0666667 0.770415
764 763 765 0.4 0.0666667 0.783543
764 763 765 0.533333 0.0666667 0.728947
764 763 765 0.666667 0.0666667 0.776621
764 763 765 0.8 0.0666667 0.706075
764 763 765 0.933333 0.0666667 0.716121
766 765 767 -0.933333 0.0666667 0.802377
766 765 767 -0.8 0.0666667 0.789401
766 765 767 -0.666667 0.0666667 0.781934
766 765 767 -0.533333 0.0666667 0.816501
766 765 767 -0.4 0.0666667 0.776547
766 765 767 -0.266667 0.0666667 0.783133
766 765 767 -0.133333 0.0666667 0.789749
766 765 767 -2.77556e-17 0.0666667 0.753318
766 765 767 0.133333 0.0666667 0.775107
766 765 767 0.266667 0.0666667 0.736756
766 765 767 0.4 0.0666667 0.763525
766 765 767 0.533333 0.0666667 0.773792
766 765 767 0.666667 0.0666667 0.755542
766 765 767 0.8 0.0666667 0.754795
766 765 767 0.933333 0.0666667 0.723637
768 767 769 -0.933333 0.0666667 0.786692
768 767 769 -0.8 0.0666667 0.786096
768 767 769 -0.666667 0.0666667 0.839532
768 767 769 -0.533333 0.0666667 0.806552
768 767 769 -0.4 0.0666667 0.815364
768 767 769 -0.266667 0.0666667 0.815964
768 767 769 -0.133333 0.0666667 0.809267
768 767 769 -2.77556e-17 0.0666667 0.816754
768 767 769 0.133333 0.0666667 0.786382
768 767 769 0.266667 0.0666667 0.760327
768 767 769 0.4 0.0666667 0.808178
768 767 769 0.533333 0.0666667 0.781558
768 767 769 0.666667 0.0666667 0.710747
768 767 769 0.8 0.0666667 0.739849
768 767 769 0.933333 0.0666667 0.703292
770 769 771 -0.933333 0.0666667 0.810436
770 769 771 -0.8 0.0666667 0.799293
770 769 771 -0.666667 0.0666667 0.823939
770 769 771 -0.533333 0.0666667 0.821028
770 769 771 -0.4 0.0666667 0.786955
770 769 771 -0.266667 0.0666667 0.804352
770 769 771 -0.133333 0.0666667 0.772032
770 769 771 -2.77556e-17 0.0666667 0.796003
770 769 771 0.133333 0.0666667 0.750899
770 769 771 0.266667 0.0666667 0.764963
770 769 771 0.4 0.0666667 0.751843
770 769 771 0.533333 0.0666667 0.749857
770 769 771 0.666667 0.0666667 0.755232
770 769 771 0.8 0.0666667 0.729364
770 769 771 0.933333 0.0666667 0.707766
