#pK pK_min pK_max cos_cm cos_cm_err Entry
766 765 767 0.8 0.0666667 19.6888
766 765 767 0.933333 0.0666667 21.5041
768 767 769 -0.933333 0.0666667 47.8416
768 767 769 -0.8 0.0666667 42.1629
768 767 769 -0.666667 0.0666667 45.9516
768 767 769 -0.533333 0.0666667 42.6504
768 767 769 -0.4 0.0666667 42.599
768 767 769 -0.266667 0.0666667 34.7822
768 767 769 -0.133333 0.0666667 31.2758
768 767 769 -2.77556e-17 0.0666667 28.3167
768 767 769 0.133333 0.0666667 27.3417
768 767 769 0.266667 0.0666667 23.459
768 767 769 0.4 0.0666667 20.842
768 767 769 0.533333 0.0666667 19.867
768 767 769 0.666667 0.0666667 23.4846
768 767 769 0.8 0.0666667 25.4346
768 767 769 0.933333 0.0666667 31.7889
770 769 771 -0.933333 0.0666667 34.5714
770 769 771 -0.8 0.0666667 29.5231
770 769 771 -0.666667 0.0666667 29.1986
770 769 771 -0.533333 0.0666667 26.9265
770 769 771 -0.4 0.0666667 26.374
770 769 771 -0.266667 0.0666667 20.9597
770 769 771 -0.133333 0.0666667 24.4058
770 769 771 -2.77556e-17 0.0666667 21.305
770 769 771 0.133333 0.0666667 24.1365
770 769 771 0.266667 0.0666667 23.95
770 769 771 0.4 0.0666667 24.5854
770 769 771 0.533333 0.0666667 25.3312
770 769 771 0.666667 0.0666667 27.4859
770 769 771 0.8 0.0666667 27.1958
770 769 771 0.933333 0.0666667 33.3491
